Week,Song Name,Artist Name,Streams,Sales,Airplay
2021-08-20,Nurse's Office,Melanie Martinez,1,1,1
2021-08-20,Show & Tell,Melanie Martinez,1,1,1
2021-08-20,The Principal,Melanie Martinez,1,1,1
2021-08-20,Class Fight,Melanie Martinez,1,1,1
2021-08-20,Wheels on the Bus,Melanie Martinez,1,1,1
2021-08-20,break up with your girlfriend i'm bored,Ariana Grande,1,1,1
2021-08-20,thank u next,Ariana Grande,1,1,1
2021-08-20,7 rings,Ariana Grande,1,1,1
2021-08-20,in my head,Ariana Grande,1,1,1
2021-08-20,make up,Ariana Grande,1,1,1
2021-08-20,bad idea,Ariana Grande,1,1,1
2021-08-20,fake smile,Ariana Grande,1,1,1
2021-08-20,bloodline,Ariana Grande,1,1,1
2021-08-20,NASA,Ariana Grande,1,1,1
2021-08-20,needy,Ariana Grande,1,1,1
2021-08-20,imagine,Ariana Grande,1,1,1
2021-08-27,Long Live,Florida Georgia Line,4,2,3
2021-08-27,Levitating (feat. DaBaby),Dua Lipa,1,1,1
2021-08-27,YKWIM?,Yot Club,1,1,1
2021-08-27,Space Song,Beach House,1,1,1
2021-08-27,Sexting,Bo Burnham,1,1,1
2021-08-27,it’s time to go - bonus track,Taylor Swift,1,1,1
2021-08-27,What A Wonderful World - Single Version,Louis Armstrong,1,1,1
2021-08-27,That Funny Feeling,Bo Burnham,1,1,1
2021-08-27,Goodbye,Bo Burnham,1,1,1
2021-08-27,If This Was a Movie,Taylor Swift,1,1,1
2021-08-27,hope ur ok,Olivia Rodrigo,1,1,1
2021-08-27,Bye Bye Baby (Taylor’s Version) (From the Vault),Taylor Swift,1,1,1
2021-08-27,favorite crime,Olivia Rodrigo,1,1,1
2021-08-27,Deja Vu (Initial D),Tsuko G.,1,1,1
2021-08-27,raindrops (an angel cried),Ariana Grande,2,2,1
2021-08-27,DEJAVU,TWICE,1,1,1
2021-08-27,Déjà Vu,NCT DREAM,1,1,1
2021-08-27,Deja Vu,Dreamcatcher,2,2,1
2021-08-27,deja vu,Olivia Rodrigo,1,1,1
2021-08-27,Dreams Come True,WJSN,2,2,1
2021-08-27,Tag Me (@Me),Weeekly,1,1,1
2021-08-27,West Coast,Lana Del Rey,3,3,1
2021-08-27,Umbrella,Rihanna,1,1,1
2021-08-27,One Last Time,Ariana Grande,1,1,1
2021-08-27,The Edge of Glory,Lady Gaga,1,1,1
2021-08-27,Wet Hands,C418,1,1,1
2021-08-27,Intro,C418,1,1,1
2021-08-27,Subwoofer Lullaby,C418,1,1,1
2021-08-27,Alpha,C418,1,1,1
2021-08-27,Minecraft,C418,1,1,1
2021-08-27,Axolotl,C418,1,1,1
2021-08-27,Mellohi,C418,1,1,1
2021-08-27,Sweden,C418,1,1,1
2021-08-27,High by the Beach,Lana Del Rey,1,1,1
2021-08-27,Ultraviolence,Lana Del Rey,2,2,1
2021-08-27,Bounce Back,Little Mix,1,1,1
2021-08-27,Ancient Dreams in a Modern Land,Marina,1,1,1
2021-08-27,Only You,Cheat Codes,1,1,1
2021-08-27,The Cure (Stripped),Little Mix,1,1,1
2021-08-27,Woman's World,Little Mix,1,1,1
2021-08-27,Forget You Not,Little Mix,1,1,1
2021-08-27,The Cure,Little Mix,1,1,1
2021-08-27,Notice,Little Mix,1,1,1
2021-08-27,Motivate,Little Mix,1,1,1
2021-08-27,More Than Words (feat. Kamille),Little Mix,1,1,1
2021-08-27,Wasabi,Little Mix,1,1,1
2021-08-27,Told You So,Little Mix,1,1,1
2021-08-27,American Boy,Little Mix,1,1,1
2021-08-27,Love a Girl Right,Little Mix,1,1,1
2021-08-27,Joan of Arc,Little Mix,1,1,1
2021-08-27,Monster in Me,Little Mix,1,1,1
2021-08-27,Strip (feat. Sharaya J),Little Mix,1,1,1
2021-08-27,Think About Us,Little Mix,1,1,1
2021-08-27,Woman Like Me (feat. Nicki Minaj),Little Mix,1,1,1
2021-08-27,Freak,Little Mix,1,1,1
2021-08-27,Beep Beep,Little Mix,1,1,1
2021-08-27,No More Sad Songs,Little Mix,1,1,1
2021-08-27,Power,Little Mix,1,1,1
2021-08-27,Touch,Little Mix,2,2,1
2021-08-27,I Forgot That You Existed,Taylor Swift,2,2,1
2021-08-27,Dear Lover,Little Mix,1,1,1
2021-08-27,Is Your Love Enough?,Little Mix,1,1,1
2021-08-27,If I Get My Way,Little Mix,1,1,1
2021-08-27,Nothing Else Matters,Little Mix,1,1,1
2021-08-27,Private Show,Little Mix,1,1,1
2021-08-27,Nobody Like You,Little Mix,1,1,1
2021-08-27,Your Love,Little Mix,1,1,1
2021-08-27,Down & Dirty,Little Mix,1,1,1
2021-08-27,You Gotta Not,Little Mix,1,1,1
2021-08-27,Oops (feat. Charlie Puth),Little Mix,1,1,1
2021-08-27,No More Sad Songs (feat. Machine Gun Kelly),Little Mix,1,1,1
2021-08-27,Power (feat. Stormzy),Little Mix,1,1,1
2021-08-27,F.U.,Little Mix,1,1,1
2021-08-27,Reggaetón Lento (Remix),CNCO,1,1,1
2021-08-27,Touch (feat. Kid Ink),Little Mix,1,1,1
2021-08-27,Shout Out to My Ex,Little Mix,1,1,1
2021-08-27,The Beginning,Little Mix,1,1,1
2021-08-27,Clued Up,Little Mix,1,1,1
2021-08-27,Secret Love Song Pt. II,Little Mix,1,1,1
2021-08-27,I Won't,Little Mix,1,1,1
2021-08-27,The End,Little Mix,1,1,1
2021-08-27,Love Me or Leave Me,Little Mix,1,1,1
2021-08-27,A.D.I.D.A.S.,Little Mix,1,1,1
2021-08-27,Lightning,Little Mix,1,1,1
2021-08-27,OMG,Little Mix,1,1,1
2021-08-27,I Love You,Little Mix,1,1,1
2021-08-27,Grown,Little Mix,1,1,1
2021-08-27,Hair,Little Mix,1,1,1
2021-08-27,Secret Love Song (feat. Jason Derulo),Little Mix,1,1,1
2021-08-27,Weird People,Little Mix,1,1,1
2021-08-27,Love Me Like You,Little Mix,1,1,1
2021-08-27,Cinnamon Girl,Lana Del Rey,1,1,1
2021-08-27,Black Magic,Little Mix,1,1,1
2021-08-27,Stand Down,Little Mix,1,1,1
2021-08-27,They Just Don't Know You,Little Mix,1,1,1
2021-08-27,See Me Now,Little Mix,1,1,1
2021-08-27,A Different Beat,Little Mix,1,1,1
2021-08-27,Mr Loverboy,Little Mix,1,1,1
2021-08-27,Good Enough,Little Mix,1,1,1
2021-08-27,Boy,Little Mix,1,1,1
2021-08-27,About the Boy,Little Mix,1,1,1
2021-08-27,These Four Walls,Little Mix,1,1,1
2021-08-27,Competition,Little Mix,1,1,1
2021-08-27,Towers,Little Mix,1,1,1
2021-08-27,Nothing Feels Like You,Little Mix,1,1,1
2021-08-27,Little Me,Little Mix,1,1,1
2021-08-27,Move,Little Mix,1,1,1
2021-08-27,Salute,Little Mix,1,1,1
2021-08-27,Madhouse,Little Mix,1,1,1
2021-08-27,Going Nowhere,Little Mix,1,1,1
2021-08-27,Red Planet (feat. T-Boz),Little Mix,1,1,1
2021-08-27,How Ya Doin'?,Little Mix,1,1,1
2021-08-27,We Are Who We Are,Little Mix,1,1,1
2021-08-27,Turn Your Face,Little Mix,1,1,1
2021-08-27,Pretend It's OK,Little Mix,1,1,1
2021-08-27,Stereo Soldier,Little Mix,1,1,1
2021-08-27,Always Be Together,Little Mix,1,1,1
2021-08-27,Change Your Life,Little Mix,1,1,1
2021-08-27,DNA,Little Mix,1,1,1
2021-08-27,Wings,Little Mix,1,1,1
2021-08-27,Cannonball,Little Mix,1,1,1
2021-08-27,Daylight,Taylor Swift,1,1,1
2021-08-27,It’s Nice to Have a Friend,Taylor Swift,1,1,1
2021-08-27,ME! (feat. Brendon Urie of Panic! at the Disco),Taylor Swift,1,1,1
2021-08-27,Afterglow,Taylor Swift,1,1,1
2021-08-27,You Need to Calm Down,Taylor Swift,1,1,1
2021-08-27,False God,Taylor Swift,1,1,1
